nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
PEHED-1,T_PEHED-1,,,SSE Thermal Generation,T,True,Peterhead Stn Txs,SSETGSL,-20.000,0.000,C,-0.0200357,-4.384,-4.384,0.000,0.000,False,False,,,
PEMB-11,T_PEMB-11,48W00000PEMB-11T,CCGT,RWE Generation UK plc,T,True,Pembroke Unit 11,INNOGY01,-15.000,475.000,P,0.0167661,-6.000,-6.000,190.000,190.000,True,False,,,
PEMB-21,T_PEMB-21,48W00000PEMB-21Q,CCGT,RWE Generation UK plc,T,True,Pembroke Unit 21,INNOGY01,-15.000,475.000,P,0.0167661,-6.000,-6.000,190.000,190.000,True,False,,,
PEMB-31,T_PEMB-31,48W00000PEMB-31N,CCGT,RWE Generation UK plc,T,True,Pembroke Unit 31,INNOGY01,-15.000,475.000,P,0.0167661,-6.000,-6.000,190.000,190.000,True,False,,,
PEMB-41,T_PEMB-41,48W00000PEMB-41K,CCGT,RWE Generation UK plc,T,True,Pembroke Unit 41,INNOGY01,-15.000,475.000,P,0.0167661,-6.000,-6.000,190.000,190.000,True,False,,,
PEMB-51,T_PEMB-51,48W00000PEMB-51H,CCGT,RWE Generation UK plc,T,True,Pembroke Unit 51,INNOGY01,-15.000,475.000,P,0.0167661,-6.000,-6.000,190.000,190.000,True,False,,,
PETEM1,E_PETEM1,48W000000PETEM1O,CCGT,River Nene Power Limited,E,True,Peterborough,CENPB,-5.000,245.000,P,0.0043990,-2.000,-2.000,98.000,98.000,True,False,_A,Eastern,
PETEM3,E_PETEM3,,OTHER,River Nene Power Limited,E,True,Peterborough Power 3,CENPB,-48.500,49.227,C,0.0043990,-0.742,-0.742,0.753,0.753,False,False,_A,Eastern,
PGBIW-1,T_PGBIW-1,,WIND,EDF Energy Customers Limited,T,True,Pogbie WF,LENCO,0.000,10.000,C,-0.0066390,0.000,0.000,4.000,4.000,True,False,,,
PGBRK-1,E_PGBRKL,,,Peak Gen Top Co Limited,E,True,E_PGBRKL,PEAKGEN,-2.028,20.000,P,0.0154722,-0.811,-0.811,8.000,8.000,True,False,_H,Southern,
PGBRY-1,E_PGBARY,,,Peak Gen Top Co Limited,E,True,E_PGBARY,PEAKGEN,-0.500,20.318,P,0.0167661,-0.200,-0.200,8.127,8.127,True,False,_K,South Wales,
PGCOV-1,E_PGCOVE,48W00000COVEN-1F,,Peak Gen Top Co Limited,E,True,E_PGCOVE,PEAKGEN,-0.100,6.000,P,0.0066681,-0.040,-0.040,2.400,2.400,True,False,_B,East Midlands,
PGDID-1,E_PGDIDC,48W00000PGDID-1L,,Peak Gen Top Co Limited,E,True,E_PGDIDC,PEAKGEN,-0.100,6.000,P,0.0154722,-0.040,-0.040,2.400,2.400,True,False,_H,Southern,
PGEXT-1,E_PGEXTR,,,Peak Gen Top Co Limited,E,True,E_PGEXTR,PEAKGEN,-0.500,20.439,P,0.0173142,-0.200,-0.200,8.176,8.176,True,False,_L,South Western,
